Date,CLOSE,TimeGPT-lo-50,TimeGPT-lo-80,TimeGPT-lo-90,TimeGPT-hi-50,TimeGPT-hi-80,TimeGPT-hi-90
2014-09-29,47.94,46.3,44.83,43.95,49.58,51.05,51.93
2014-09-30,47.43,45.79,44.32,43.44,49.07,50.54,51.42
2014-10-01,47.97,46.34,44.86,43.98,49.61,51.08,51.96
2014-10-02,46.94,45.3,43.83,42.95,48.58,50.05,50.93
2014-10-03,47.25,45.61,44.14,43.26,48.89,50.36,51.24
2014-10-04,47.22,45.59,44.11,43.23,48.86,50.33,51.21
2014-10-05,47.24,45.6,44.13,43.25,48.88,50.35,51.23
2014-10-06,47.2,45.57,44.09,43.21,48.84,50.31,51.2
2014-10-07,47.25,45.61,44.14,43.26,48.89,50.36,51.24
2014-10-08,46.82,45.18,43.71,42.83,48.46,49.93,50.81
2014-10-09,46.64,45.0,43.53,42.64,48.27,49.75,50.63
2014-10-10,45.82,44.19,42.71,41.83,47.46,48.93,49.81
2014-10-11,46.12,44.48,43.01,42.13,47.75,49.23,50.11
2014-10-12,46.23,44.6,43.12,42.24,47.87,49.34,50.23
2014-10-13,46.73,45.09,43.62,42.74,48.36,49.84,50.72
2014-10-14,46.17,44.53,43.06,42.18,47.81,49.28,50.16
2014-10-15,46.48,44.85,43.37,42.49,48.12,49.59,50.48
2014-10-16,45.19,43.55,42.08,41.2,46.83,48.3,49.18
2014-10-17,44.71,43.08,41.6,40.72,46.35,47.82,48.71
2014-10-18,44.56,42.92,41.45,40.57,46.2,47.67,48.55
2014-10-19,44.46,42.82,41.35,40.47,46.09,47.57,48.45
2014-10-20,43.27,41.63,40.16,39.27,44.9,46.38,47.26
2014-10-21,43.31,41.68,40.2,39.32,44.95,46.42,47.3
2014-10-22,42.72,41.09,39.61,38.73,44.36,45.83,46.71
2014-10-23,42.33,40.69,39.22,38.34,43.96,45.44,46.32
2014-10-24,43.22,41.59,40.11,39.23,44.86,46.33,47.22
2014-10-25,43.46,41.82,40.35,39.47,45.1,46.57,47.45
2014-10-26,43.55,41.91,40.44,39.56,45.18,46.66,47.54
2014-10-27,43.67,42.03,40.56,39.68,45.31,46.78,47.66
2014-10-28,44.46,42.82,41.34,40.46,46.09,47.57,48.45
2014-10-29,43.99,42.35,40.88,40.0,45.63,47.1,47.98
2014-10-30,44.63,42.99,41.52,40.63,46.26,47.74,48.62
2014-10-31,45.55,43.91,42.44,41.55,47.18,48.66,49.54
2014-11-01,45.49,43.85,42.38,41.5,47.13,48.6,49.48
2014-11-02,45.4,43.76,42.29,41.41,47.04,48.51,49.39
2014-11-03,45.3,43.67,42.19,41.31,46.94,48.41,49.3
