Date,S&P 500,Dow Jones,NASDAQ 100,Nikkei 225,FTSE 100,DAX 30
2013-09-04,1653.0799560546875,14930.8701171875,3124.5400390625,14053.8701171875,6474.7001953125,8195.919921875
2013-09-05,1655.0799560546875,14937.48046875,3129.93994140625,14064.8203125,6532.39990234375,8234.98046875
2013-09-06,1655.1700439453125,14922.5,3133.3798828125,13860.8095703125,6547.2998046875,8275.669921875
2013-09-09,1671.7099609375,15063.1201171875,3169.929931640625,14205.23046875,6530.7001953125,8276.3203125
2013-09-10,1683.989990234375,15191.0595703125,3185.070068359375,14423.3603515625,6584.0,8446.5400390625
2013-09-11,1689.1300048828125,15326.599609375,3179.860107421875,14425.0703125,6588.39990234375,8495.73046875
2013-09-12,1683.4200439453125,15300.6396484375,3175.570068359375,14387.26953125,6589.0,8494.0
2013-09-13,1687.989990234375,15376.0595703125,3178.280029296875,14404.669921875,6583.7998046875,8509.419921875
2013-09-16,1697.5999755859375,15494.7802734375,3168.68994140625,,6622.89990234375,8613.0
2013-09-17,1704.760009765625,15529.73046875,3190.830078125,14311.669921875,6570.2001953125,8596.9501953125
2013-09-18,1725.52001953125,15676.9404296875,3231.31005859375,14505.3603515625,6558.7998046875,8636.0595703125
2013-09-19,1722.3399658203125,15636.5498046875,3237.610107421875,14766.1796875,6625.39990234375,8694.1796875
2013-09-20,1709.9100341796875,15451.08984375,3224.72998046875,14742.419921875,6596.39990234375,8675.73046875
2013-09-23,1701.8399658203125,15401.3798828125,3219.340087890625,,6557.39990234375,8635.2900390625
2013-09-24,1697.4200439453125,15334.58984375,3218.659912109375,14732.6103515625,6571.5,8664.599609375
2013-09-25,1692.77001953125,15273.259765625,3208.550048828125,14620.5302734375,6551.5,8665.6298828125
2013-09-26,1698.6700439453125,15328.2998046875,3234.0400390625,14799.1201171875,6565.60009765625,8664.099609375
2013-09-27,1691.75,15258.240234375,3230.300048828125,14760.0703125,6512.7001953125,8661.509765625
2013-09-30,1681.550048828125,15129.669921875,3218.199951171875,14455.7998046875,6462.2001953125,8594.400390625
2013-10-01,1695.0,15191.7001953125,3253.050048828125,14484.7197265625,6460.0,8689.1396484375
2013-10-02,1693.8699951171875,15133.1396484375,3253.260009765625,14170.490234375,6437.5,8629.419921875
2013-10-03,1678.6600341796875,14996.48046875,3213.830078125,14157.25,6449.0,
2013-10-04,1690.5,15072.580078125,3242.570068359375,14024.3095703125,6453.89990234375,8622.9697265625
